IP_Address	Date_Time	Request_Method	Requested_Resource	Status_Code	Bytes_Sent
46.229.168.153	05/Nov/2019:19:53:22	GET	/robots.txt	200	72
46.229.168.130	05/Nov/2019:19:53:24	GET	/2017/07/09/linux-command-4-cut-sort-uniq-wc/	200	5374
106.38.241.114	05/Nov/2019:19:57:21	GET	/robots.txt	400	270
106.38.241.114	05/Nov/2019:19:57:23	GET	/	200	3835
5.189.142.121	05/Nov/2019:19:57:24	GET	/	301	184
77.75.76.170	05/Nov/2019:20:00:28	GET	/robots.txt	200	72
77.75.76.170	05/Nov/2019:20:00:31	GET	/2018/02/27/caching-using-redis-on-django/	200	7060
121.134.136.92	05/Nov/2019:20:00:45	GET	/2017/07/10/shell-script-basic-5/	200	5014
121.134.136.92	05/Nov/2019:20:00:45	GET	/assets/css/screen.css?v=6ea3fea03b	200	9999
121.134.136.92	05/Nov/2019:20:00:45	GET	/assets/js/jquery.fitvids.js?v=6ea3fea03b	200	1198
121.134.136.92	05/Nov/2019:20:00:45	GET	/assets/js/index.js?v=6ea3fea03b	200	651
121.134.136.92	05/Nov/2019:20:00:46	GET	/assets/fonts/casper-icons.woff?v=1	200	2580
121.134.136.92	05/Nov/2019:20:00:47	GET	/favicon.ico	200	91
66.249.75.40	05/Nov/2019:20:03:04	GET	/robots.txt	200	72
66.249.75.42	05/Nov/2019:20:03:05	GET	/2016/09/25/decorator-class/	200	5231
66.249.75.42	05/Nov/2019:20:05:08	GET	/2018/01/31/prepare-for-employment-as-developer/amp/	200	10653
35.200.93.7	05/Nov/2019:20:08:18	GET	/2016/11/22/limit-pagination-page-numbers-range	301	5
35.200.93.7	05/Nov/2019:20:08:18	GET	/2016/11/22/limit-pagination-page-numbers-range/	200	5390
123.30.175.234	05/Nov/2019:20:14:29	GET	/robots.txt	301	184
123.30.175.234	05/Nov/2019:20:14:31	GET	/robots.txt	200	72
91.242.162.17	05/Nov/2019:20:16:20	GET	/robots.txt	200	72
91.242.162.17	05/Nov/2019:20:16:22	GET	/rss/	200	33378
207.46.13.37	05/Nov/2019:20:25:17	GET	/	301	184
66.249.75.38	05/Nov/2019:20:30:57	GET	/2016/10/05/model-datetimefield-in-korean/	200	5496
66.249.81.214	05/Nov/2019:20:32:39	GET	/	301	184
66.249.81.198	05/Nov/2019:20:32:40	GET	/	200	3835
66.249.81.200	05/Nov/2019:20:32:41	GET	/assets/css/screen.css?v=6ea3fea03b	200	9999
66.249.81.202	05/Nov/2019:20:32:41	GET	/assets/js/index.js?v=6ea3fea03b	200	651
66.249.81.202	05/Nov/2019:20:32:41	GET	/assets/js/jquery.fitvids.js?v=6ea3fea03b	200	1198
66.249.81.202	05/Nov/2019:20:32:42	GET	/assets/fonts/casper-icons.woff?v=1	200	2580
66.249.81.198	05/Nov/2019:20:32:45	GET	/	200	3835
66.102.9.182	05/Nov/2019:20:32:46	GET	/	301	184
66.249.81.198	05/Nov/2019:20:32:46	GET	/robots.txt	200	72
66.249.81.214	05/Nov/2019:20:32:47	GET	/	301	184
66.102.9.168	05/Nov/2019:20:32:47	GET	/	200	3835
66.102.9.168	05/Nov/2019:20:32:47	GET	/assets/js/index.js?v=6ea3fea03b	200	651
66.249.81.200	05/Nov/2019:20:32:48	GET	/	200	3835
